date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:55:34	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Feb%202023%2010:55:32%20GMT	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/robots.txt		(from )
18:55:34	64435/64435	---MCZ	200	added ('OK')	text/html	etag:W/%22fbb3-5e80d4070c259%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/	C:/Users/temug/Documents/codes/not%20perfect%20team/not_perfect_team/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/index.html	(from )
18:55:34	1158/1158	---MC-	200	added ('OK')	text/css	date:Thu,%2016%20Feb%202023%2010:55:33%20GMT	http://fonts.googleapis.com/css?family=Dosis:400,700,500|Nunito:300,400,600	C:/Users/temug/Documents/codes/not%20perfect%20team/not_perfect_team/fonts.googleapis.com/css470f.css	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
18:55:38	177145/177145	---MCZ	200	added ('OK')	text/css	etag:W/%22631804e2-2b3f9%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/css/style.css	C:/Users/temug/Documents/codes/not%20perfect%20team/not_perfect_team/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/css/style.css	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
18:55:40	64435/64435	---MCZ	200	added ('OK')	text/html	etag:W/%22631804e0-fbb3%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/index.html	C:/Users/temug/Documents/codes/not%20perfect%20team/not_perfect_team/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/index-2.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
18:55:40	1624/1624	---M--	200	added ('OK')	image/png	etag:%22631804e5-658%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/logo1.png	C:/Users/temug/Documents/codes/not%20perfect%20team/not_perfect_team/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/logo1.png	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
18:55:40	756537/756537	---MCZ	200	added ('OK')	text/css	etag:W/%22631804e3-b8b39%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/css/plugins.css	C:/Users/temug/Documents/codes/not%20perfect%20team/not_perfect_team/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/css/plugins.css	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
18:55:40	53899/53899	---MCZ	200	added ('OK')	text/html	etag:W/%22631804de-d28b%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/homev2.html	C:/Users/temug/Documents/codes/not%20perfect%20team/not_perfect_team/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/homev2.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
18:55:41	63234/63234	---MCZ	200	added ('OK')	text/html	etag:W/%22631804df-f702%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/homev3.html	C:/Users/temug/Documents/codes/not%20perfect%20team/not_perfect_team/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/homev3.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
18:55:41	25971/25971	---MCZ	200	added ('OK')	text/html	etag:W/%22631804df-6573%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/moviegrid.html	C:/Users/temug/Documents/codes/not%20perfect%20team/not_perfect_team/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/moviegrid.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
18:55:41	24125/24125	---MCZ	200	added ('OK')	text/html	etag:W/%22631804e0-5e3d%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/moviegridfw.html	C:/Users/temug/Documents/codes/not%20perfect%20team/not_perfect_team/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/moviegridfw.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
18:55:41	19829/19829	---MCZ	200	added ('OK')	text/html	etag:W/%22631804e0-4d75%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/movielist.html	C:/Users/temug/Documents/codes/not%20perfect%20team/not_perfect_team/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/movielist.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
18:55:42	53110/53110	---MCZ	200	added ('OK')	text/html	etag:W/%22631804e0-cf76%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/moviesingle.html	C:/Users/temug/Documents/codes/not%20perfect%20team/not_perfect_team/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/moviesingle.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
18:55:42	56608/56608	---MCZ	200	added ('OK')	text/html	etag:W/%22631804e1-dd20%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/seriessingle.html	C:/Users/temug/Documents/codes/not%20perfect%20team/not_perfect_team/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/seriessingle.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
